Time [s],Acceleration[mg]
0.205,-3.447265789
0.206,2.075252874
0.207,0.816546509
0.208,3.04222652
0.209,-0.923876027
0.21,2.749025304
0.211,-5.127231066
0.212,3.685239328
0.213,-6.817986511
0.214,-5.172632307
0.215,-2.138162889
0.216,-3.644043127
0.217,2.068282703
0.218,-1.643585448
0.219,9.841668058
0.22,5.686905976
0.221,-1.75792843
0.222,3.066435111
0.223,1.460721612
0.224,-5.314545258
0.225,1.468122819
0.226,0.499184979
0.227,2.353096845
0.228,0.463511468
0.229,-6.243489334
0.23,-4.686039953
0.231,-2.30593668
0.232,-4.536011865
0.233,-6.87933425
0.234,-2.419690238
0.235,-2.681473934
0.236,4.979873885
0.237,11.34212737
0.238,3.311019699
0.239,5.130341362
0.24,-1.207530278
0.241,-4.249129967
0.242,-0.848937315
0.243,0.119783118
0.244,-2.899133883
0.245,5.247938098
0.246,6.571687856
0.247,4.613431801
0.248,-0.528565283
0.249,-8.876313808
0.25,-1.4
0.251,0.859935297
0.252,-6.897659495
0.253,-1.576914094
0.254,7.575634399
0.255,2.150051131
0.256,-1.440160368
0.257,-4.916709533
0.258,-3.099603782
0.259,-1.746509741
0.26,0.968040227
0.261,1.441685511
0.262,9.275594201
0.263,3.377552869
0.264,8.668529736
0.265,0.142955561
0.266,-0.922310463
0.267,-5.628667783
0.268,-5.499519213
0.269,-0.764910194
0.27,-5.588152986
0.271,-1.247435877
0.272,-3.346142637
0.273,0.722191057
0.274,3.762935873
0.275,-3.531877181
0.276,-6.578296153
0.277,-2.908372599
0.278,3.876089216
0.279,-2.753981887
0.28,6.589019008
0.281,0.300641572
0.282,5.3199219
0.283,-4.182383764
0.284,5.858577099
0.285,3.037407616
0.286,-10.86128816
0.287,-0.85341201
0.288,-6.279335173
0.289,8.561424785
0.29,-0.4265452
0.291,3.573503748
0.292,-0.707107013
0.293,-5.146960839
0.294,-5.38372064
0.295,0.650621178
0.296,-8.057319952
0.297,-3.429189418
0.298,8.902974464
0.299,3.687302001
0.3,6.233592155
0.301,3.073975612
0.302,0.464999894
0.303,4.55847553
0.304,0.222423053
0.305,-4.735470526
0.306,-4.109371405
0.307,4.887696835
0.308,4.401895281
0.309,-5.910673159
0.31,-1.590403645
0.311,-6.193759779
0.312,2.856708663
0.313,-1.554569733
0.314,-1.473273419
0.315,0.670527727
0.316,3.429295402
0.317,1.437991054
0.318,8.382819767
0.319,7.512438533
0.32,5.62281049
0.321,2.407071584
0.322,-6.682498716
0.323,2.147616516
0.324,-2.512611151
0.325,0.543567699
0.326,1.878878845
0.327,5.392703365
0.328,0.144533843
0.329,-4.305070105
0.33,0.472563183
0.331,-13.06719155
0.332,2.138391937
0.333,-3.084227789
0.334,-2.342220941
0.335,1.70815098
0.336,-4.967319854
0.337,2.033453715
0.338,2.252035029
0.339,3.282620315
0.34,-0.981076129
0.341,-3.587243892
0.342,6.939270632
0.343,-2.800805184
0.344,6.500367218
0.345,1.313942015
0.346,7.273369836
0.347,-5.442875482
0.348,-8.382537567
0.349,-9.662120107
0.35,-1.750657781
0.351,-8.358825865
0.352,-0.816387488
0.353,0.832407945
0.354,2.654833366
0.355,-1.137859999
0.356,3.506290915
0.357,-2.776859864
0.358,6.102360494
0.359,-1.109737014
0.36,3.742239636
0.361,-0.475264338
0.362,1.69468154
0.363,0.46994376
0.364,4.391076341
0.365,2.092246482
0.366,-1.788565404
0.367,-0.438901426
0.368,-6.875341115
0.369,0.002179743
0.37,3.496593075
0.371,3.181360739
0.372,3.759436531
0.373,0.455245828
0.374,0.71514739
0.375,-1.404163056
0.376,-0.40069573
0.377,-0.296813773
0.378,2.63599992
0.379,-3.667622219
0.38,6.027468495
0.381,1.419404848
0.382,-0.936465146
0.383,-1.227170808
0.384,-2.019665796
0.385,-7.797125427
0.386,-4.262372746
0.387,-0.100750018
0.388,-1.191444264
0.389,-1.990529645
0.39,-1.294602504
0.391,3.327724485
0.392,0.251188106
0.393,-9.031086603
0.394,-1.230354204
0.395,1.236869531
0.396,-2.311975864
0.397,-4.339849694
0.398,1.36055895
0.399,8.832418908
0.4,2.998469858
0.401,-1.964566502
0.402,1.575065643
0.403,-1.30022513
0.404,-7.204018797
0.405,3.002486756
0.406,-0.01866535
0.407,-0.645237305
0.408,-5.43981933
0.409,2.864910269
0.41,-5.625702514
0.411,-1.089427907
0.412,-1.014025194
0.413,-7.99372443
0.414,1.257228444
0.415,0.762517576
0.416,7.905784718
0.417,4.609438675
0.418,0.169157257
0.419,4.480463258
0.42,-7.278516676
0.421,2.524338905
0.422,-4.1343884
0.423,-3.129405357
0.424,4.580579903
0.425,-2.970577818
0.426,3.063481931
0.427,4.189842831
0.428,-1.884037618
0.429,-4.211981249
0.43,-5.422133468
0.431,1.468162145
0.432,-0.146221692
0.433,0.010081836
0.434,-4.84705995
0.435,4.905902243
0.436,-4.159330925
0.437,-1.991633847
0.438,-4.66038481
0.439,-2.624004988
0.44,-2.458500199
0.441,5.120483003
0.442,3.034616147
0.443,3.703603289
0.444,3.711258852
0.445,-2.867172534
0.446,-2.748153881
0.447,-3.360728517
0.448,-12.30105573
0.449,-11.15234257
0.45,-0.050657781
0.451,1.73747282
0.452,-7.302790925
0.453,4.056431623
0.454,-0.515338033
0.455,4.844259935
0.456,-5.416919603
0.457,-2.707234625
0.458,-4.400680483
0.459,-1.417531021
0.46,7.839408731
0.461,4.047460562
0.462,6.931828418
0.463,5.310761708
0.464,3.37691959
0.465,2.163754406
0.466,-11.73076003
0.467,-3.954780539
0.468,-6.190995936
0.469,2.100136457
0.47,3.028386196
0.471,-1.568378545
0.472,-0.388710413
0.473,-3.555108094
0.474,-4.218550111
0.475,-9.358140358
0.476,1.07056791
0.477,2.379604098
0.478,-1.265338571
0.479,-2.126821349
0.48,5.290833169
0.481,-0.71766166
0.482,3.057063127
0.483,-0.165997395
0.484,-3.985388109
0.485,0.66126236
0.486,-6.593948366
0.487,1.998533435
0.488,3.358303526
0.489,-1.71407141
0.49,-6.420543687
0.491,2.325214165
0.492,-6.692691025
0.493,-4.008515802
0.494,-6.784860364
0.495,-0.102765445
0.496,3.787846656
0.497,-2.781216164
0.498,2.650099832
0.499,-1.282352499
0.5,2
0.501,-1.913421436
0.502,-2.414031855
0.503,-0.867642827
0.504,0.448221322
0.505,5.102765445
0.506,0.548792387
0.507,-0.342625207
0.508,-3.543376953
0.509,-4.12944023
0.51,0.420543687
0.511,-5.090154655
0.512,-8.594371504
0.513,-6.349674444
0.514,6.357880388
0.515,2.33873764
0.516,0.221456086
0.517,7.517138404
0.518,-5.82099515
0.519,-3.478112275
0.52,1.709166831
0.521,-0.068952585
0.522,-4.498593451
0.523,3.971536911
0.524,4.165500067
0.525,-0.641859642
0.526,5.982482133
0.527,2.203967085
0.528,-2.847357565
0.529,-8.23584752
0.53,-4.028386196
0.531,-0.904362522
0.532,5.954927959
0.533,0.60363953
0.534,6.494692056
0.535,3.836245594
0.536,-5.140851612
0.537,-4.959620698
0.538,-7.69576044
0.539,2.756765503
0.54,-3.839408731
0.541,0.221757087
0.542,7.63674846
0.543,1.058375634
0.544,-0.347012419
0.545,2.155740065
0.546,-3.720729945
0.547,-2.407572632
0.548,-0.933277053
0.549,3.458301115
0.55,-0.949342219
0.551,-4.651883497
0.552,-3.935012247
0.553,6.009587508
0.554,-7.487914096
0.555,1.867172534
0.556,-6.475190874
0.557,-7.35246228
0.558,-3.79854817
0.559,3.683743062
0.56,4.458500199
0.561,6.428231053
0.562,11.89645279
0.563,4.342774856
0.564,-5.604601098
0.565,-4.905902243
0.566,4.610991972
0.567,-3.361222845
0.568,-4.089846285
0.569,1.72761179
0.57,2.422133468
0.571,-3.592244817
0.572,-3.352030359
0.573,-1.54098384
0.574,-8.299549909
0.575,-0.029422182
0.576,-5.344511926
0.577,3.480546366
0.578,6.370456377
0.579,4.27988716
0.58,5.278516676
0.581,5.323762807
0.582,-1.93308928
0.583,1.741702334
0.584,-2.669716741
0.585,3.237482424
0.586,2.506703578
0.587,4.64258342
0.588,1.777957216
0.589,1.285201841
0.59,-6.374297486
0.591,-5.669136334
0.592,-2.796248647
0.593,1.294096296
0.594,-5.217402627
0.595,0.997513244
0.596,2.440086774
0.597,4.651366139
0.598,6.661002334
0.599,2.768792567
0.6,4.001530142
0.601,-3.028192843
0.602,-8.124490973
0.603,7.690990703
0.604,7.548043841
0.605,6.763130469
0.606,-3.005713774
0.607,-0.320054406
0.608,2.512743916
0.609,-8.131950551
0.61,-2.705397496
0.611,-6.81369642
0.612,-3.044623713
0.613,-2.250390992
0.614,1.026304769
0.615,5.797125427
0.616,2.255733773
0.617,4.578311817
0.618,4.172533123
0.619,1.384821217
0.62,-1.027468495
0.621,0.471848284
0.622,2.600068058
0.623,11.64795478
0.624,4.636763707
0.625,6.404163056
0.626,0.048784632
0.627,-1.806386838
0.628,-6.995504508
0.629,-3.985586804
0.63,2.503406925
0.631,3.193594192
0.632,-2.360726862
0.633,6.087760417
0.634,-4.447502573
0.635,-3.092246482
0.636,-7.155008364
0.637,3.881197249
0.638,-2.458613562
0.639,3.279490403
0.64,5.257760364
0.641,-1.086036921
0.642,7.133707483
0.643,1.128000873
0.644,-4.270222938
0.645,-8.862140001
0.646,2.109098656
0.647,-11.18354895
0.648,-0.419680489
0.649,2.554599799
0.65,4.750657781
0.651,5.857894042
0.652,6.14646959
0.653,4.091734472
0.654,1.490562187
0.655,-6.313942015
0.656,-1.264299241
0.657,-0.848053807
0.658,2.296797345
0.659,10.39146996
0.66,5.981076129
0.661,7.52160575
0.662,6.984032948
0.663,3.317687294
0.664,4.203387832
0.665,-4.70815098
0.666,-4.893847036
0.667,1.73308678
0.668,6.625540086
0.669,1.262965481
0.67,4.527436817
0.671,-3.49915596
0.672,-5.38060182
0.673,-6.743844374
0.674,-5.114946822
0.675,-1.543567699
0.676,-1.251320871
0.677,3.203524493
0.678,8.918566694
0.679,-2.602845519
0.68,-2.62281049
0.681,-3.708212467
0.682,2.853248211
0.683,-2.086850045
0.684,-3.193227425
0.685,2.329472273
0.686,2.237205441
0.687,-2.796571276
0.688,4.90722336
0.689,3.389533714
0.69,-7.409596355
0.691,-8.893552907
0.692,-3.637963258
0.693,-1.238837844
0.694,-2.126696572
0.695,-0.264529474
0.696,0.013644924
0.697,-1.207334521
0.698,5.771068083
0.699,-2.269749547
0.7,-7.233592155
0.701,-0.883075936
0.702,1.333093513
0.703,0.780330427
0.704,4.29338793
0.705,1.349378822
0.706,5.147652663
0.707,-4.20418017
0.708,-6.528960964
0.709,-10.37772981
0.71,-6.5734548
0.711,-0.365650851
0.712,-3.956732804
0.713,-1.497728999
0.714,7.62522018
0.715,-0.037407616
0.716,4.377490879
0.717,-0.466475227
0.718,-0.083853922
0.719,0.503584493
0.72,-0.589019008
0.721,6.558207952
0.722,6.359978762
0.723,7.259513609
0.724,-4.185635869
0.725,-3.468122819
0.726,-3.999003851
0.727,-8.073332066
0.728,-3.889925341
0.729,-8.556790188
0.73,1.588152986
0.731,-2.039315871
0.732,0.263451236
0.733,5.277526774
0.734,-1.313757514
0.735,3.857044439
0.736,2.567538241
0.737,0.97358814
0.738,-0.039526223
0.739,-1.637459446
0.74,8.031959773
0.741,3.550735807
0.742,6.33567176
0.743,2.267850543
0.744,-2.323771654
0.745,-5.150051131
0.746,-1.811702376
0.747,-5.774226915
0.748,-2.338408482
0.749,0.335838638
0.75,2.4
0.751,2.072087743
0.752,-3.707502694
0.753,-2.96457281
0.754,-2.807755833
0.755,-0.247938098
0.756,1.13520186
0.757,1.231357891
0.758,8.085005293
0.759,2.053356032
0.76,8.207530278
0.761,3.673884703
0.762,2.925048278
0.763,-3.990986361
0.764,-3.743805908
0.765,3.681473934
0.766,3.18362226
0.767,1.528193241
0.768,-4.700056113
0.769,3.501710615
0.77,-4.313960047
0.771,-1.560736732
0.772,-3.699579446
0.773,-7.704237854
0.774,-0.735252956
0.775,-6.468122819
0.776,9.550613236
0.777,6.890419397
0.778,8.169632867
0.779,4.562154496
0.78,7.313094024
0.781,-1.037441993
0.782,2.879653426
0.783,-3.717141694
0.784,-3.119888895
0.785,-2.861837111
0.786,2.936564329
0.787,1.466845502
0.788,1.078692694
0.789,-2.676995
0.79,-4.749025304
0.791,-11.88035004
0.792,0.721705503
0.793,-4.167687518
0.794,9.688679148
0.795,6.447265789
0.796,3.289441386
0.797,1.970676322
0.798,-4.297812275
0.799,0.380674959
0.8,5.766407845
0.801,-2.533500441
0.802,-0.598026129
0.803,6.602319584
0.804,7.017591467
0.805,2.637583558
0.806,1.332276942
0.807,1.724669504
0.808,-11.88862973
0.809,0.609067319
0.81,-7.234025851
0.811,-5.299122137
0.812,5.871797861
0.813,5.238854223
0.814,3.925861292
0.815,3.153901768
0.816,-4.69584765
0.817,-3.836183577
0.818,-6.110259137
0.819,-0.167185982
0.82,6.475076478
0.821,0.393207938
0.822,6.108912589
0.823,-1.427381295
0.824,-3.987569977
0.825,-0.543567699
0.826,-6.378697717
0.827,-1.112938586
0.828,4.429052285
0.829,-3.495209417
0.83,7.42954985
0.831,-0.278061005
0.832,0.589047434
0.833,4.482420313
0.834,-2.391226811
0.835,-3.532580475
0.836,-2.485268019
0.837,7.282261795
0.838,6.019458447
0.839,9.210261601
0.84,-0.194494376
0.841,8.888849731
0.842,0.547463812
0.843,3.188438845
0.844,2.276727245
0.845,-2.216055048
0.846,1.486615644
0.847,1.282080367
0.848,5.515563802
0.849,5.121644936
0.85,-1.249342219
0.851,-2.709151095
0.852,-2.788774701
0.853,1.626105151
0.854,-10.8869548
0.855,-0.960026968
0.856,-2.811249424
0.857,6.091508221
0.858,4.883041016
0.859,7.416583304
0.86,1.433330869
0.861,-0.409165448
0.862,4.505960939
0.863,-3.083377252
0.864,-4.466352513
0.865,1.732183013
0.866,2.049877201
0.867,4.338426884
0.868,1.67576579
0.869,1.734620678
0.87,-2.398706108
0.871,1.010466652
0.872,-1.805158613
0.873,2.562707374
0.874,-4.687464473
0.875,-1.595836944
0.876,2.373012813
0.877,6.27886057
0.878,7.409722163
0.879,-0.524205172
0.88,6.874644538
0.881,-4.156205269
0.882,-1.863959529
0.883,3.32764535
0.884,2.758353999
0.885,8.972695932
0.886,-3.662351082
0.887,-1.28581649
0.888,-3.009198215
0.889,0.874959431
0.89,-1.880968
0.891,-7.634570776
0.892,-3.236589616
0.893,-4.283561754
0.894,5.535312712
0.895,1.861017436
0.896,2.544097298
0.897,-3.118663402
0.898,-2.755396761
0.899,4.235558052
0.9,-1.998469858
0.901,-3.494958327
0.902,7.291908123
0.903,0.461020244
0.904,-0.555966682
0.905,-1.100373723
0.906,-1.758429113
0.907,-4.742396356
0.908,-0.046915114
0.909,-5.166516108
0.91,4.801273019
0.911,2.59654599
0.912,8.742531718
0.913,3.678008919
0.914,-3.804640571
0.915,-5.93808808
0.916,-3.172336966
0.917,-3.007631199
0.918,4.103403372
0.919,1.864789293
0.92,6.376403644
0.921,14.27594062
0.922,9.560802272
0.923,1.849640578
0.924,-1.080761031
0.925,-0.029422182
0.926,-2.563300804
0.927,-7.910078052
0.928,0.457623746
0.929,-3.588298273
0.93,6.324246501
0.931,3.186585304
0.932,0.873661063
0.933,-3.611889312
0.934,-4.886387802
0.935,-5.730331738
0.936,-2.293256949
0.937,6.307349358
0.938,5.931878286
0.939,5.116886904
0.94,6.282929694
0.941,1.181122837
0.942,-0.547881702
0.943,-4.315969628
0.944,-3.934164389
0.945,-7.034940499
0.946,5.508139361
0.947,-3.800066597
0.948,4.434081965
0.949,1.611867397
0.95,3.050657781
0.951,-0.805449779
0.952,-2.302371265
0.953,0.402081473
0.954,-0.716783402
0.955,5.057853097
0.956,2.111961095
0.957,1.021882982
0.958,5.386081993
0.959,3.724377312
0.96,5.336161773
0.961,1.068109652
0.962,-2.731185939
0.963,-3.9241952
0.964,3.547804239
0.965,-1.33932491
0.966,7.992071831
0.967,3.854305997
0.968,1.99142061
0.969,-2.363336037
0.97,-4.930499228
0.971,-2.239794063
0.972,-3.65701167
0.973,-3.426938704
0.974,-1.753766972
0.975,1.358140358
0.976,6.901749172
0.977,2.602442699
0.978,7.311060654
0.979,-0.065006042
0.98,-0.388720136
0.981,-0.019138761
0.982,4.142512198
0.983,2.266471937
0.984,-1.275923688
0.985,6.514308144
0.986,-2.330775463
0.987,2.614900057
0.988,-2.558946005
0.989,-7.401498804
0.99,-10.75502682
0.991,1.367939544
0.992,-2.292710486
0.993,3.693867445
0.994,5.089818872
0.995,-3.799347587
0.996,-0.555725222
0.997,-5.677296932
0.998,0.955062357
0.999,-1.649670541
1,1.56142E-12
1.001,0.453896606
1.002,3.28100562
1.003,4.028437941
1.004,4.791793199
1.005,-7.200652413
1.006,-5.32588685
1.007,-1.045008454
1.008,1.056642508
1.009,4.827834391
1.01,2.755026817
1.011,4.597272739
1.012,4.322878028
1.013,0.033958933
1.014,3.094707485
1.015,-7.514308144
1.016,-7.488008334
1.017,-2.915330928
1.018,-3.906444221
1.019,2.823364826
1.02,6.388720136
1.021,1.869232107
1.022,6.925007324
1.023,-0.25130169
1.024,-6.665681195
1.025,-7.358140358
1.026,-1.482301006
1.027,-3.924202306
1.028,5.420943692
1.029,1.435567998
1.03,1.930499228
1.031,4.559109971
1.032,-6.227488588
1.033,0.794552994
1.034,-1.228139808
1.035,-3.66067509
1.036,-6.311736261
1.037,0.275336209
1.038,3.967253916
1.039,8.736116413
1.04,-0.336161773
1.041,-0.920151247
1.042,-0.150014016
1.043,-9.670741973
1.044,5.124106882
1.045,-3.057853097
1.046,8.480715424
1.047,-0.753222482
1.048,1.066303287
1.049,-0.998776286
1.05,-7.050657781
1.051,-2.416093463
1.052,-0.670149942
1.053,-0.551074412
1.054,0.255792662
1.055,-1.965059501
1.056,2.170232366
1.057,-2.332889363
1.058,1.78394968
1.059,-4.376896771
1.06,-1.282929694
1.061,-9.312660839
1.062,-3.695810308
1.063,2.043791652
1.064,5.529324926
1.065,2.730331738
1.066,4.650319824
1.067,2.260748303
1.068,-9.10972904
1.069,-10.99081137
1.07,-2.324246501
1.071,-7.215927792
1.072,4.306308277
1.073,5.558937043
1.074,2.327232826
1.075,1.029422182
1.076,-4.683170991
1.077,-2.498499569
1.078,-2.324734295
1.079,-5.471714551
1.08,-0.376403644
1.081,4.939436773
1.082,0.132664605
1.083,0.358772208
1.084,2.408404944
1.085,6.93808808
1.086,-2.431427407
1.087,-0.029149928
1.088,-6.978599695
1.089,2.599227944
1.09,5.198726981
1.091,-3.637709957
1.092,-0.189152863
1.093,0.391255346
1.094,1.522361135
1.095,-7.899626277
1.096,-3.20796534
1.097,-7.109879235
1.098,2.944159855
1.099,3.299184392
1.1,2.998469858
1.101,9.568668013
1.102,-2.008535262
1.103,2.469804411
1.104,5.69197068
1.105,-2.861017436
1.106,0.228619311
1.107,-4.067579255
1.108,3.000521639
1.109,-4.169655289
1.11,4.880968
1.111,4.320814504
1.112,-2.226869763
1.113,-6.065324519
1.114,-3.573716895
1.115,-3.972695932
1.116,3.477713979
1.117,-4.976504341
1.118,1.100027506
1.119,2.960431334
1.12,4.125355462
1.121,8.328431238
1.122,2.826345815
1.123,1.072280439
1.124,-6.136944835
1.125,-3.404163056
1.126,-8.548603504
1.127,5.086151616
1.128,3.569090636
1.129,8.185307282
1.13,-4.601293892
1.131,1.461153257
1.132,-2.911833767
1.133,-8.689567893
1.134,-5.285945178
1.135,-1.732183013
1.136,0.70242049
1.137,5.434518261
1.138,-0.269892962
1.139,7.213391513
1.14,5.566669131
1.141,-4.612357239
1.142,1.353026961
1.143,2.259632788
1.144,3.047317401
1.145,3.960026968
1.146,5.650886823
1.147,-1.97724616
1.148,2.552706724
1.149,-5.09507497
1.15,-12.75065778
1.151,-3.925871001
1.152,-2.751631779
1.153,0.366778623
1.154,0.277316379
1.155,0.216055048
1.156,-2.040659267
1.157,2.162702164
1.158,-2.311395835
1.159,0.915376334
1.16,5.194494376
1.161,-0.406035536
1.162,-0.783390469
1.163,1.068879214
1.164,6.721335997
1.165,6.532580475
1.166,-1.844841167
1.167,-8.833561322
1.168,-0.825115411
1.169,-2.52616506
1.17,-10.42954985
1.171,4.690983351
1.172,2.334879738
1.173,5.761797577
1.174,-0.85737026
1.175,-2.456432301
1.176,-3.776362046
1.177,-7.221477696
1.178,-2.872844611
1.179,-6.588981873
1.18,-1.475076478
1.181,-3.028587953
1.182,-0.653672885
1.183,1.187324587
1.184,6.931915628
1.185,1.846098232
1.186,-3.16192927
1.187,-6.589995232
1.188,-11.10786584
1.189,-2.505103928
1.19,-1.765974149
1.191,6.586706616
1.192,-3.347438252
1.193,1.924189487
1.194,-1.56834492
1.195,-3.637583558
1.196,-2.78152349
1.197,2.748821425
1.198,-1.165905894
1.199,6.337726507
1.2,4.233592155
1.201,11.42355111
1.202,6.533880252
1.203,1.380464687
1.204,-7.053373409
1.205,-0.447265789
1.206,-3.924747126
1.207,-2.183453491
1.208,-4.95777348
1.209,0.076123973
1.21,-0.250974696
1.211,4.872768934
1.212,-7.314760672
1.213,-7.817986511
1.214,-8.172632307
1.215,-3.138162889
1.216,-0.644043127
1.217,2.068282703
1.218,6.356414552
1.219,7.841668058
1.22,3.686905976
1.221,-2.75792843
1.222,0.066435111
1.223,2.460721612
1.224,-4.314545258
1.225,-0.531877181
1.226,-0.500815021
1.227,6.353096845
1.228,4.463511468
1.229,2.756510667
1.23,-4.686039953
1.231,-11.30593668
1.232,1.463988135
1.233,-4.87933425
1.234,-4.419690238
1.235,-2.681473934
1.236,5.979873885
1.237,0.34212737
1.238,2.311019699
1.239,3.130341362
1.24,-4.207530278
1.241,-7.249129967
1.242,4.151062685
1.243,-0.880216882
1.244,8.100866117
1.245,4.247938098
1.246,3.571687856
1.247,3.613431801
1.248,-1.528565283
1.249,-1.876313808
1.25,-6.4
1.251,-7.140064703
1.252,2.102340505
1.253,1.423085906
1.254,2.575634399
1.255,-1.849948869
1.256,4.559839632
1.257,0.083290467
1.258,-8.099603782
1.259,-3.746509742
1.26,-4.031959773
1.261,4.441685511
1.262,7.275594201
1.263,9.377552869
1.264,2.668529736
1.265,-0.857044439
1.266,4.077689537
1.267,-0.628667783
1.268,-5.499519213
1.269,-1.764910194
1.27,-8.588152986
1.271,-4.247435877
1.272,-2.346142637
1.273,-3.277808943
1.274,1.762935874
1.275,-5.531877181
1.276,-4.578296153
1.277,-0.9083726
1.278,1.876089216
1.279,2.246018113
1.28,1.589019008
1.281,9.300641572
1.282,0.3199219
1.283,2.817616236
1.284,1.858577099
1.285,1.037407616
1.286,-1.861288158
1.287,-0.85341201
1.288,-8.279335173
1.289,2.561424785
1.29,4.5734548
1.291,-2.426496253
1.292,-1.707107013
1.293,-6.146960839
1.294,3.61627936
1.295,0.650621178
1.296,-2.057319952
1.297,-1.429189418
1.298,4.902974464
1.299,4.687302001
1.3,3.233592155
1.301,0.073975612
1.302,2.464999895
1.303,4.55847553
1.304,2.222423053
1.305,-4.735470526
1.306,3.890628595
1.307,-3.112303165
1.308,-2.598104719
1.309,-2.910673159
1.31,0.409596355
1.311,1.806240221
1.312,-1.143291337
1.313,-6.554569733
1.314,1.526726581
1.315,0.670527727
1.316,0.429295402
1.317,2.437991054
1.318,8.382819767
1.319,11.51243853
1.32,-2.37718951
1.321,-4.592928416
1.322,-5.682498716
1.323,1.147616516
1.324,-3.512611151
1.325,4.543567699
1.326,-0.121121155
1.327,6.392703365
1.328,1.144533843
1.329,-2.305070105
1.33,-2.527436817
1.331,-6.067191546
